Duration,rainIntensityIncrement,rainIntensityIncrements,vwcIncrement,controlledLo,controlledHi,controlledRate,surfaceName,runoffToName,cdaName,etTableName,productName,capacity
5,0.0007,8,5,0,70,0.05,two,three,[None],sunny,purpleRoof,0.5

month,minutes,amc,vwc,vwcGroupBy5,vwcRow,capacitySpare,rainIntensity,intensityColumn,rain,uncontrolled,controlled,input,efficiency,absorb,runoff,retPre,hourColumn,monthRow,etRate,etMax,et,ret
1,120,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,125,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,130,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,135,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,140,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,145,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,150,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,155,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,160,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,165,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,170,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,175,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,180,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,185,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,190,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,195,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,200,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,205,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,210,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,215,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,220,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,225,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,230,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,235,0.2957499999999999,59,55,11,0.2042500000000001,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.2957499999999999,1,6,0.0,0.0,0.0,0.2957499999999999
1,240,0.2957499999999999,59,55,11,0.2042500000000001,0.0035,5,0.0175,0,0,0.0175,62,0.010850000000000002,0.00665,0.30659999999999993,2,6,0.0,0.0,0,0.30659999999999993
1,245,0.30659999999999993,61,60,12,0.19340000000000007,0.0035,5,0.0175,0,0,0.0175,62,0.010850000000000002,0.00665,0.31744999999999995,2,6,0.0,0.0,0,0.31744999999999995
1,250,0.31744999999999995,63,60,12,0.18255000000000005,0.0035,5,0.0175,0,0,0.0175,62,0.010850000000000002,0.00665,0.3283,2,6,0.0,0.0,0,0.3283
1,255,0.3283,65,65,13,0.17170000000000002,0.0035,5,0.0175,0,0,0.0175,61,0.010675,0.006825000000000001,0.33897499999999997,2,6,0.0,0.0,0,0.33897499999999997
1,260,0.33897499999999997,67,65,13,0.16102500000000003,0.0035,5,0.0175,0,0,0.0175,61,0.010675,0.006825000000000001,0.34964999999999996,2,6,0.0,0.0,0,0.34964999999999996
1,265,0.34964999999999996,69,65,13,0.15035000000000004,0.0035,5,0.0175,0,0,0.0175,61,0.010675,0.006825000000000001,0.36032499999999995,2,6,0.0,0.0,0,0.36032499999999995
1,270,0.36032499999999995,72,70,14,0.13967500000000005,0.0035,5,0.0175,0,0,0.0175,60,0.0105,0.007000000000000001,0.37082499999999996,2,6,0.0,0.0,0,0.37082499999999996
1,275,0.37082499999999996,74,70,14,0.12917500000000004,0.0035,5,0.0175,0,0,0.0175,60,0.0105,0.007000000000000001,0.38132499999999997,2,6,0.0,0.0,0,0.38132499999999997
1,280,0.38132499999999997,76,75,15,0.11867500000000003,0.0035,5,0.0175,0,0,0.0175,56,0.009800000000000001,0.0077,0.39112499999999994,2,6,0.0,0.0,0,0.39112499999999994
1,285,0.39112499999999994,78,75,15,0.10887500000000006,0.0035,5,0.0175,0,0,0.0175,56,0.009800000000000001,0.0077,0.4009249999999999,2,6,0.0,0.0,0,0.4009249999999999
1,290,0.4009249999999999,80,80,16,0.09907500000000008,0.0035,5,0.0175,0,0,0.0175,51,0.008925,0.008575000000000001,0.40984999999999994,2,6,0.0,0.0,0,0.40984999999999994
1,295,0.40984999999999994,81,80,16,0.09015000000000006,0.0035,5,0.0175,0,0,0.0175,51,0.008925,0.008575000000000001,0.41877499999999995,2,6,0.0,0.0,0,0.41877499999999995
1,300,0.41877499999999995,83,80,16,0.08122500000000005,0.0069,7,0.0345,0,0,0.0345,40,0.013800000000000002,0.020700000000000003,0.43257499999999993,2,6,0.0,0.0,0,0.43257499999999993
1,305,0.43257499999999993,86,85,17,0.06742500000000007,0.0069,7,0.0345,0,0,0.0345,30,0.010350000000000002,0.02415,0.44292499999999996,2,6,0.0,0.0,0,0.44292499999999996
1,310,0.44292499999999996,88,85,17,0.05707500000000004,0.0069,7,0.0345,0,0,0.0345,30,0.010350000000000002,0.02415,0.453275,2,6,0.0,0.0,0,0.453275
1,315,0.453275,90,90,18,0.046725000000000017,0.0069,7,0.0345,0,0,0.0345,20,0.006900000000000001,0.027600000000000003,0.460175,2,6,0.0,0.0,0,0.460175
1,320,0.460175,92,90,18,0.039825,0.0069,7,0.0345,0,0,0.0345,20,0.006900000000000001,0.027600000000000003,0.467075,2,6,0.0,0.0,0,0.467075
1,325,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,2,6,0.0,0.0,0,0.467075
1,330,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,2,6,0.0,0.0,0,0.467075
1,335,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,2,6,0.0,0.0,0,0.467075
1,340,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,2,6,0.0,0.0,0,0.467075
1,345,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,2,6,0.0,0.0,0,0.467075
1,350,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,2,6,0.0,0.0,0,0.467075
1,355,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,2,6,0.0,0.0,0,0.467075
1,360,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,365,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,370,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,375,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,380,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,385,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,390,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,395,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,400,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,405,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,410,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,415,0.467075,93,90,18,0.03292499999999998,0.0104,7,0.052,0,0,0.052,20,0,0.052,0.467075,3,6,0.005,0.025,0,0.467075
1,420,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,425,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,430,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,435,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,440,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,445,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,450,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,455,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,460,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,465,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,470,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,475,0.467075,93,90,18,0.03292499999999998,0.0069,7,0.0345,0,0,0.0345,20,0,0.0345,0.467075,3,6,0.005,0.025,0,0.467075
1,480,0.467075,93,90,18,0.03292499999999998,0.0,0,0.0,0,0,0.0,60,0.0,0.0,0.467075,4,6,0.0066,0.033,0.033,0.434075
1,485,0.434075,86,85,17,0.06592500000000001,0.0,0,0.0,0,0,0.0,70,0.0,0.0,0.434075,4,6,0.0066,0.033,0.033,0.40107499999999996
1,490,0.40107499999999996,80,80,16,0.09892500000000004,0.0,0,0.0,0,0,0.0,80,0.0,0.0,0.40107499999999996,4,6,0.0066,0.033,0.033,0.36807499999999993
1,495,0.36807499999999993,73,70,14,0.13192500000000007,0.0,0,0.0,0,0,0.0,88,0.0,0.0,0.36807499999999993,4,6,0.0066,0.033,0.033,0.3350749999999999
1,500,0.3350749999999999,67,65,13,0.1649250000000001,0.0,0,0.0,0,0,0.0,90,0.0,0.0,0.3350749999999999,4,6,0.0066,0.033,0.033,0.30207499999999987
1,505,0.30207499999999987,60,60,12,0.19792500000000013,0.0,0,0.0,0,0,0.0,92,0.0,0.0,0.30207499999999987,4,6,0.0066,0.033,0.033,0.26907499999999984
1,510,0.26907499999999984,53,50,10,0.23092500000000016,0.0,0,0.0,0,0,0.0,95,0.0,0.0,0.26907499999999984,4,6,0.0066,0.033,0.033,0.23607499999999984
1,515,0.23607499999999984,47,45,9,0.2639250000000002,0.0,0,0.0,0,0.25,0.25,95,0.2375,0.012500000000000011,0.47357499999999986,4,6,0.0066,0.033,0.033,0.44057499999999983
1,520,0.44057499999999983,88,85,17,0.05942500000000017,0.0,0,0.0,0,0,0.0,70,0.0,0.0,0.44057499999999983,4,6,0.0066,0.033,0.033,0.4075749999999998
1,525,0.4075749999999998,81,80,16,0.0924250000000002,0.0,0,0.0,0,0,0.0,80,0.0,0.0,0.4075749999999998,4,6,0.0066,0.033,0.033,0.37457499999999977
1,530,0.37457499999999977,74,70,14,0.12542500000000023,0.0,0,0.0,0,0,0.0,88,0.0,0.0,0.37457499999999977,4,6,0.0066,0.033,0.033,0.34157499999999974
1,535,0.34157499999999974,68,65,13,0.15842500000000026,0.0,0,0.0,0,0,0.0,90,0.0,0.0,0.34157499999999974,4,6,0.0066,0.033,0.033,0.3085749999999997
